type,operator,date,location,summary,total ground casualties
Douglas DC-8,Lineas Aereas del Caribe,02/04/1996, Paraguay,"The No. 1 engine failed or power was reduced after takeoff followed by loss of the second engine. With the gear down and flaps extended,  the crew lost control of the aircraft and crashed 1.2 miles past the runway into a soccer field killing 24 on the ground.",24
Douglas DC-6,Air Vietnam (South Vietnam),12/22/1969, Vietnam,"An explosive device was detonated in the cabin just as the aircraft was about to land. The blast damaged the aircraft's hydraulics. The aircraft became airborne, overran the runway and crashed into a school.",24
Douglas DC-6,Aerial Transit Company,05/05/1990, Guatemala,The aircraft experienced engine failure on takeoff at about V2 and crashed into houses 8 km SE of the airport.,24
F-86 Sabrejet,Private,09/24/1972,"California, United States","A World War II vintage Sabrejet fighter leaving an air show at Executive Airport was unable to get airborn and crashed into a Farrell's Ice Cream Parlor on Freeport Blvd. Twenty-two people on the ground, including 12 children were killed. The pilot, was pulled from the wreckage by a bystander and survived. The pilot tried to lift off too quickly, pointing the nose of the jet three times higher than the normal angle. Instead of becoming airborne sooner, the plane had trouble getting off the ground.",22
Boeing 707,TAMPA Colombia,12/14/1983, Colombia,"After liftoff, the aircraft entered a 90 degree bank, struck power lines and crashed into buildings. Failure of the No.3 engine during a climb out with the No.4 engine operating at idle.",22
Boeing XB-29,Private - Boeing Aircraft Company,02/18/1943,"Washington, United States","Lost altitude, struck power lines and crashed into a packing house after encountering an engine fire on a test flight.",20
Boeing 707,EgyptAir,12/25/1976, Thailand,The aircraft crashed into an industrial area during a landing attempt. Lack of altitude awareness and disorientation leading to an uncontrolled descent. Crew did not make use of navigational aids.,19
Boeing 707,Transbrasil,03/21/1989, Brazil,The plane crashed into houses during a steep approach. Crew error. High speed approach. Deep stall. This was the Boeing 707 used in the movie 'Airport' in 1970.,18
Douglas DC-9,Aeromexico / Private,08/31/1986,"California, United States","A midair collision occurred between a DC-9, attempting to land at LAX  and a Piper at 6,560 ft. over Cerritos, California. The Piper struck and knocked the horizontal and vertical stabilizer off the DC-9. The Piper fell into an unoccupied playground.  The DC-9 crashed into a neighborhood destroying eleven homes and damaging seven others. Sixty-four on the DC-9, three on the Cessna and 15 on the ground were killed. The pilot of the Piper inadvertently entered the LAX Terminal Control Area. The inadvertent and unauthorized entry of the PA-28 into the Los Angeles Terminal Control Area. The limitations of the 'see and avoid' concept to ensure traffiseparation under the conditions of the conflict.",15
Antonov AN-12,Savannair,02/02/1999, Angola,"The plane was on a flight to Lucapa, when it was forced to return to Luanda due to engine trouble. While approaching Luanda, the aircraft crashed into the Cazenga district of Luanda destroying five houses.",13
Douglas DC-8,Delta Air Lines,03/30/1967,"Louisiana, United States",Crashed into hotel during training flight. Improper supervision by the instructor and the improper use of flight and power controls by both instructor and the captain-trainee during a simulated two-engine out landing approach.,13
Airbus A320,TAM (Brazil),07/17/2007, Brazil,"The jet airliner crashed while attempting to land in heavy rain at Congonhas airport. The plane skidded off the end of the runway across a major roadway and struck a gas station and building, bursting into flames. One hundred seventy passengers and a crew of six were aboard.",12
Lockheed Orion 9,Varney Airlines,03/25/1933,"California, United States","The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.",11
Boeing 747,Pan American,12/21/1988, Scotland,"The airliner disappeared from radar shortly after leveling off at FL 310 while on a flight from Heathrow Airport, London,  to New York. The aircraft broke up with two main sections of wreckage coming down in the town of Lockerbie. Detonation of an explosive device in the forward cargo area planted by terrorists.  Musician Paul Jeffreys killed. The aircraft was named 'Clipper Maid of the Seas.'",11
Vickers Viscount 827 / Fokker AT-6,VASP,12/22/1959, Brazil,"Midair collision with a Brazilian Air Force AT-6 Harvard, shortly after takeoff. One killed in the fighter. Failure of both pilots to see and avoid each other.",10
Boeing 737,"LAPA, Lineas Aereas Privadas Argentinas",08/31/1999, Argentina,"While attempting to take off from Jorge Newberry airport, the crew aborted takeoff, overran the runway, skidded across a service road and crashed into several cars and into a golf course, bursting into flames.  The crew had the wrong flap selection for takeoff.",10
Tupolev TU-154,Cubana de Aviacion,08/29/1998, Ecuador,"The aircraft crashed and burned during takeoff from Quito. The crew tried and failed twice to take off. On the third attempt, the plane struggled to gain altitude, rising a few feet, but settled back to earth plowing past the end of the runway and crashing into an auto body shop and coming to rest in a soccer field. The accident was caused by the late decision of the crew to abort the takeoff.",10
Hawker Siddeley HS-748-329 Srs. 2A,Air Liberia,04/16/1983, Sudan,The No.2 engine failed during climbout forcing a return to the airport. While on the  base leg the aircraft lost altitude and crashed. High Pressure fuel pump shaft broke due to pump seizure. The remaining engine could not produce enough power because the fuel datum trimmer wasn't reset in accordance with the flight manual.,9
BAC One-Eleven 516FP,Philippine Air Lines,07/21/1989, Philippines,"In heavy rain the aircraft bounced twice, crashed through a concreate wall, overran the runway, crossed a road and struck several cars.",8
Tupolev TU-144,Aeroflot,06/03/1973, France,"During a steep climb at an airshow, the airplane was observed to level off very abruptly and then begin a dive. The plane broke apart and exploded before crashing into a residential area killing 8 people and seriously injuring 60 others. The pilot, possibly startled by a close encounter with a Mirage jet photographing the TU-144, overreacted causing a compressor stall. The aircraft then went into a dive and broke apart after the aircraft's design capacity was exceeded.",8
Learjet 45,Mexican Government,11/04/2008, Mexico,"Mexican Interior Minister Juan Camilo Mourino, 37, was killed when the executive jet he was flying in crashed next to a building, 4.8 kilometers from the airport where it was to land. A preliminary investigation found the jet's pilots didn't immediately follow instructions to slow down and appeared to be nearly one nautical mile too close behind a Boeing 767-300 on the same flight path to Mexico City's international airport.",8
Boeing 727,Pan American,07/09/1982,"Louisiana, United States","The aircraft crashed during a thunderstorm, 29 seconds after taking off from New Orleans International Airport. The plane reached an altitude of 95 to 150 feet and then began to descend and crashed into trees and houses bursting into flames. Microbust induced windshear. Limited capability of current ground-based low-level windshear detection technology. The aircraft was named 'Clipper Defiance.'",8
Lockheed L-1049,Trans World Airlines,11/24/1959,"Illinois, United States","Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift.",8
Douglas DC-6,Linee Aeree Italiane,11/24/1956, France,"Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed.",8
Douglas DC-3,ALIANSA Colombia,03/18/1999, Colombia,Crashed into Huirotico Hill. Wreckage found 4 days later.,8
Douglas DC-9,Southern Airways,04/04/1977,"Georgia, United States",The aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. The plane crash landed on a highway and exploded in flames. Total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. Contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.,8
Xian Yunshuji Y-7-100C,Wuhan Airlines,06/22/2000, China,"The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash.",7
Boeing 727,PacifiSouthwest Airlines / Private,09/25/1978,"California, United States","Midair collision. The PSA was descending and about to land at Lindbergh Field. The Cessna was climbing while engaged in practice approaches. The 727 overtook and struck the Cessna from the rear. The primary cause was the PSA crew lost sight of the Cessna and did not make that fact known to the ATC.  The ATC failed to realize from the PSA transmissions that they lost sight of the Cessna. One hundred thirty-five killed on the PSA, two on the Cessna and seven on the ground. Crew fatigue may have played a part in the accident as there are unofficial reports that the crew attended an all night party and had only 2 hours sleep from the night before.",7
Convair CV-240-0,American Airlines,01/22/1952,"New Jersey, United States","The aircraft crashed into an apartment house during its approach, 3 miles short and right of the runway.  The plane crashed while level laterally but in a steep descending attitude.  Most likely cause was carburetor icing. Official cause unknown.",7
Airbus A300,China Airlines (Taiwan),02/16/1998, Taiwan,"The aircraft was attempting to land at Taipei's international airport in rain and fog when the crew requested a go-around. The plane crashed into a residential neighborhood, ripping the roofs off several structures, skidding into a rice paddy and bursting in flames. DFDR data showed complete autopilot disengagement just after landing clearance. This was  followed by an attempted manually flown go-around with falling airspeed and a pitch-up of 40 degrees followed by a gain of 1,000 feet in altitude, total stall and a dive resulting in impact with the ground.",7
Convair CV-240-0,Cruzeiro,01/15/1963, Brazil,The crippled airliner crashed into houses and burst into flames as it was coming in for an emergency landing in steady rain.,7
Ilyushin IL-18D,Aeroflot,03/06/1976, Russia,"The aircraft plunged to earth from FL 260. Electrical power failure of compass, gyros and auto pilot.",7
